Index,Load (kN),Defor (mm)
1026,4.31,0.056
1027,4.313,0.056
1028,4.315,0.056
1029,4.317,0.056
1030,4.319,0.0564
1031,4.321,0.0564
1032,4.323,0.0564
1033,4.326,0.056
1034,4.329,0.056
1035,4.33,0.0564
1036,4.333,0.0564
1037,4.335,0.0564
1038,4.338,0.0564
1039,4.34,0.056
1040,4.342,0.0564
1041,4.345,0.0564
1042,4.347,0.0564
1043,4.35,0.0564
1044,4.352,0.0564
1045,4.354,0.0568
1046,4.356,0.0568
1047,4.358,0.0568
1048,4.361,0.0568
1049,4.363,0.0568
1050,4.366,0.0568
1051,4.369,0.0568
1052,4.371,0.0568
1053,4.373,0.0568
1054,4.376,0.0568
1055,4.378,0.0568
1056,4.381,0.0568
1057,4.383,0.0568
1058,4.385,0.0568
1059,4.388,0.0568
1060,4.391,0.0572
1061,4.393,0.0572
1062,4.396,0.0572
1063,4.398,0.0572
1064,4.4,0.0572
1065,4.401,0.0572
1066,4.403,0.0572
1067,4.405,0.0572
1068,4.407,0.0572
1069,4.41,0.0572
1070,4.412,0.0572
1071,4.414,0.0576
1072,4.417,0.0572
1073,4.419,0.0572
1074,4.421,0.0572
1075,4.424,0.0572
1076,4.426,0.0576
1077,4.429,0.0576
1078,4.431,0.0576
1079,4.433,0.0576
1080,4.436,0.0576
1081,4.438,0.058
1082,4.441,0.0576
1083,4.443,0.0576
1084,4.445,0.0576
1085,4.448,0.0576
1086,4.451,0.058
1087,4.453,0.058
1088,4.455,0.058
1089,4.457,0.058
1090,4.459,0.058
1091,4.462,0.058
1092,4.465,0.058
1093,4.467,0.058
1094,4.469,0.0584
1095,4.472,0.058
1096,4.474,0.0584
1097,4.476,0.0584
1098,4.479,0.0584
1099,4.481,0.0584
1100,4.483,0.0584
1101,4.486,0.0584
1102,4.489,0.0584
1103,4.491,0.0584
1104,4.494,0.0588
1105,4.496,0.0584
1106,4.498,0.0584
1107,4.5,0.0588
1108,4.503,0.0584
1109,4.558,0.0592
1110,4.56,0.0592
1111,4.562,0.0588
1112,4.566,0.0592
1113,4.568,0.0588
1114,4.568,0.0588
1115,4.572,0.0592
1116,4.574,0.0592
1117,4.576,0.0592
1118,4.578,0.0592
1119,4.58,0.0592
1120,4.584,0.0596
1121,4.586,0.0596
1122,4.588,0.0596
1123,4.59,0.0596
1124,4.594,0.0596
1125,4.594,0.0596
1126,4.598,0.0596
1127,4.6,0.0596
1128,4.602,0.0596
1129,4.604,0.0596
1130,4.606,0.0596
1131,4.61,0.0596
1132,4.612,0.0596
1133,4.614,0.0596
1134,4.616,0.06
1135,4.618,0.0596
1136,4.62,0.06
1137,4.624,0.06
1138,4.626,0.06
1139,4.628,0.06
1140,4.63,0.06
1141,4.634,0.06
1142,4.636,0.06
1143,4.638,0.0604
1144,4.64,0.06
1145,4.642,0.06
1146,4.646,0.0604
1147,4.648,0.06
1148,4.65,0.06
1149,4.652,0.0604
1150,4.654,0.0604
1151,4.656,0.0604
1152,4.66,0.06
1153,4.66,0.0604
1154,4.664,0.06
1155,4.666,0.0604
1156,4.668,0.0604
1157,4.67,0.0604
1158,4.672,0.0604
1159,4.676,0.0604
1160,4.678,0.0604
1161,4.68,0.0608
1162,4.682,0.0608
1163,4.686,0.0608
1164,4.688,0.0608
1165,4.69,0.0608
1166,4.692,0.0608
1167,4.696,0.0608
1168,4.698,0.0608
1169,4.7,0.0608
1170,4.702,0.0608
1171,4.706,0.0608
1172,4.708,0.0608
1173,4.71,0.0608
1174,4.712,0.0608
1175,4.714,0.0608
1176,4.716,0.0612
1177,4.718,0.0608
1178,4.722,0.0608
1179,4.724,0.0612
1180,4.726,0.0612
1181,4.728,0.0612
1182,4.73,0.0612
1183,4.732,0.0612
1184,4.736,0.0612
1185,4.738,0.0612
1186,4.74,0.0612
1187,4.742,0.0612
1188,4.744,0.0612
1189,4.748,0.0616
1190,4.75,0.0616
1191,4.752,0.0616
1192,4.754,0.0616
1193,4.758,0.0616
1194,4.76,0.0616
1195,4.762,0.0616
1196,4.764,0.0616
1197,4.768,0.0616
1198,4.77,0.0616
1199,4.772,0.0616
1200,4.774,0.0616
1201,4.776,0.0616
1202,4.78,0.0616
1203,4.78,0.0616
1204,4.784,0.0616
1205,4.786,0.062
1206,4.79,0.062
1207,4.792,0.062
1208,4.794,0.062
1209,4.796,0.062
1210,4.798,0.062
1211,4.8,0.062
1212,4.802,0.062
1213,4.806,0.062
1214,4.808,0.062
